,Prediction,Close,Error
0,1115.2283369386928,558.46,556.7683369386928
1,1126.4498557531815,555.45,570.9998557531815
2,1110.3288005549025,565.61,544.7188005549025
3,1191.6650557648459,565.45,626.2150557648458
4,1132.2779333064805,568.18,564.0979333064805
5,1141.7411507574311,541.65,600.0911507574311
6,1074.925698942996,536.68,538.245698942996
7,1078.580595035743,553.38,525.200595035743
8,1112.1266143086323,562.6,549.5266143086322
9,1122.7159348800506,539.47,583.2459348800505
10,1058.784887549621,529.15,529.6348875496211
11,1070.0261625592052,531.06,538.9661625592053
12,1067.2010266604875,534.97,532.2310266604875
13,1079.3708428395803,555.02,524.3508428395803
14,1090.8294359952192,534.63,556.1994359952192
15,1065.7785806135803,527.17,538.6085806135803
16,1051.0799714622085,533.35,517.7299714622085
17,1061.2346557415167,525.5,535.7346557415167
18,1053.9051073609266,523.72,530.1851073609266
19,1039.0089362585954,514.77,524.2389362585955
20,1028.4986404675606,515.73,512.7686404675605
21,1027.9454670048744,526.26,501.68546700487445
22,1049.0450833673276,525.22,523.8250833673276
23,1048.0770298076272,529.9,518.1770298076273
24,1061.1753871562287,526.48,534.6953871562287
25,1043.552861130659,526.36,517.192861130659
26,1044.3628651295921,513.73,530.6328651295921
27,1025.7722855443221,508.56,517.2122855443222
28,1011.3305069291974,509.6,501.7305069291974
29,1015.8349194110696,517.31,498.5249194110696
30,1040.9845557681883,528.47,512.5145557681883
31,1055.5251153587928,531.63,523.8951153587929
32,1059.673916328938,525.21,534.463916328938
33,1045.2914062991008,518.56,526.7314062991009
34,1036.7962424078514,519.2,517.5962424078514
35,1033.4772016317347,527.41,506.06720163173475
36,1053.2531529227608,528.32,524.9331529227608
37,1059.4763543779786,537.46,522.0163543779786
38,1075.6961905517373,543.57,532.1261905517373
39,1087.7672257553504,551.19,536.5772257553504
40,1104.9946278790012,564.4,540.5946278790012
41,1121.8664184909253,560.14,561.7264184909253
42,1119.4759188843177,558.55,560.9259188843178
43,1114.438089134856,558.36,556.078089134856
44,1114.2405271838966,552.41,561.8305271838966
45,1095.1165303310363,543.45,551.6665303310363
46,1076.4271697702866,543.17,533.2571697702866
47,1086.0681929771004,552.38,533.6881929771004
48,1109.0446478736667,554.81,554.2346478736667
49,1107.2468341199374,560.58,546.6668341199373
50,1113.8849156721699,559.02,554.8649156721699
51,1108.9261107030916,557.31,551.6161107030916
52,1107.543177046376,549.84,557.703177046376
53,1097.6255671082195,550.25,547.3755671082195
54,1091.7184647745362,542.79,548.9284647745362
55,1081.741586251092,541.52,540.221586251092
56,1083.0454951274232,551.85,531.1954951274232
57,1101.5175375421177,553.38,548.1375375421177
58,1106.6739044621554,554.84,551.8339044621554
59,1103.3153512958474,563.4,539.9153512958475
60,1123.091302586873,563.07,560.021302586873
61,1123.2295959525445,577.07,546.1595959525445
62,1154.2468222531547,574.42,579.8268222531548
63,1146.7197119216053,575.66,571.0597119216053
64,1149.6436287958031,573.7,575.9436287958031
65,1148.9719181625414,581.07,567.9019181625414
66,1158.8697719056022,580.74,578.1297719056022
67,1158.8697719056022,583.13,575.7397719056022
68,1159.6797759045353,580.66,579.0197759045353
69,1147.6680092862102,569.53,578.1380092862103
70,1135.6957550580764,574.5,561.1957550580764
71,1124.5137486337803,569.54,554.9737486337804
72,1136.3279533011464,577.59,558.7379533011464
73,1157.3880572734074,583.27,574.1180572734074
74,1163.5915025335294,583.18,580.4115025335294
75,1168.0366464301137,581.06,586.9766464301138
76,1151.3426615740532,572.16,579.1826615740532
77,1177.8949877829828,593.45,584.4449877829827
78,1175.4254633959918,587.86,587.5654633959917
79,1173.3905753011109,593.11,580.2805753011108
80,1178.3493802701892,594.35,583.9993802701891
81,1184.691118895983,591.73,592.961118895983
82,1172.7583770580409,587.41,585.3483770580409
83,1168.1749397957851,588.98,579.1949397957851
84,1169.5183610623085,584.01,585.5083610623085
85,1165.1719981412039,585.81,579.3619981412039
86,1153.4565744493175,570.03,583.4265744493175
87,1133.3645240367568,564.52,568.8445240367569
88,1130.6776815037101,571.58,559.0976815037101
89,1132.6730572083993,563.52,569.1530572083993
90,1116.3741962542572,564.82,551.5541962542571
91,1128.6230372137338,561.82,566.8030372137338
92,1119.8907989813324,567.21,552.6807989813324
93,1132.5545200378233,566.33,566.2245200378233
94,1121.767637515446,561.19,560.577637515446
95,1127.2796159472105,573.21,554.0696159472104
96,1144.7440924120124,573.08,571.6640924120123
97,1148.0631331881286,571.91,576.1531331881287
98,1144.605799046341,580.57,564.0357990463409
99,1162.1295440964304,585.25,576.8795440964304
100,1163.8680892648727,582.89,580.9780892648727
101,1159.7983130751109,581.77,578.0283130751109
102,1159.3439205879044,580.96,578.3839205879044
103,1161.5763706337448,578.61,582.9663706337448
104,1154.7604833256487,576.28,578.4804833256487
105,1146.8975176774688,569.44,577.4575176774688
106,1131.7050036486985,567.64,564.0650036486985
107,1135.2018501806783,570.03,565.1718501806783
108,1136.2094161305704,575.75,560.4594161305704
109,1152.2712027435614,576.36,575.9112027435614
110,1152.2712027435614,580.39,571.8812027435614
111,1160.1144121966458,584.48,575.6344121966458
112,1165.2707791166836,588.11,577.1607791166836
113,1169.8147039887472,579.42,590.3947039887472
114,1155.234632007951,581.5,573.734632007951
115,1152.9824257670152,579.76,573.2224257670152
116,1154.2468222531547,574.04,580.2068222531548
117,1138.3628413960269,571.53,566.8328413960269
118,1138.0072298843002,578.36,559.6472298843001
119,1152.2909589386577,583.17,569.1209589386577
120,1166.0610269205208,587.66,578.4010269205208
121,1174.9315585185932,594.45,580.4815585185931
122,1179.495239585753,585.76,593.7352395857531
123,1165.7646839940817,579.54,586.2246839940817
124,1155.1556072275675,586.38,568.7756072275675
125,1167.1476176507972,573.49,593.6576176507972
126,1144.5070180708612,575.52,568.9870180708613
127,1136.0118541796114,574.78,561.2318541796114
128,1146.2258070442072,575.78,570.4458070442072
129,1144.4082370953815,566.71,577.6982370953815
130,1127.2796159472105,568.52,558.7596159472105
131,1138.5801595420821,573.7,564.8801595420821
132,1149.920215527146,575.77,574.150215527146
133,1141.247245880033,562.2,579.047245880033
134,1123.8420380005186,570.93,552.9120380005187
135,1134.9055072542392,559.34,575.5655072542392
136,1108.3729372404055,543.0,565.3729372404055
137,1083.3023256636702,531.75,551.5523256636702
138,1071.2905590453447,536.47,534.8205590453447
139,1055.762189699944,528.58,527.1821896999439
140,1032.0942679750199,523.07,509.0242679750198
141,1048.35361653897,509.77,538.5836165389701
142,1013.2863702436945,519.41,493.8763702436945
143,1044.2838403492087,525.1,519.1838403492087
144,1053.5494958492,531.25,522.2994958492
145,1072.120319239374,542.49,529.6303192393741
146,1082.0576853726266,538.3,543.7576853726266
147,1067.6159067575018,539.29,528.3259067575018
148,1079.3708428395803,547.4,531.9708428395803
149,1093.1606670165393,547.83,545.3306670165392
150,1091.1060227265625,548.8,542.3060227265626
151,1111.593197041042,557.55,554.043197041042
152,1104.006818124205,553.7,550.3068181242049
153,1099.0875255453184,552.59,546.4975255453184
154,1106.5751234866757,544.43,562.1451234866757
155,1084.3098916135627,540.56,543.7498916135628
156,1085.6928252702778,539.53,546.1628252702778
157,1076.3481449899027,545.99,530.3581449899027
158,1090.1972377521497,548.78,541.4172377521497
159,1093.9311586252807,545.81,548.1211586252807
160,1092.7655431146204,543.89,548.8755431146204
161,1086.6213664397865,542.91,543.7113664397865
162,1080.5167021551442,535.04,545.4767021551443
163,1068.5444479270104,533.57,534.9744479270104
164,1063.6251553481238,535.52,528.1051553481238
165,1056.2363383822462,533.37,522.8663383822462
166,1076.6444879163419,536.03,540.6144879163419
167,1068.8407908534496,537.79,531.0507908534496
168,1071.4881209963041,539.6,531.8881209963041
169,1075.2022856743388,538.89,536.3122856743388
170,1074.6886246018448,540.35,534.3386246018448
171,1071.2905590453447,532.34,538.9505590453447
172,1060.6814822788306,532.29,528.3914822788306
173,1056.591949893973,529.87,526.7219498939729
174,1056.058532626383,535.84,520.2185326263831
175,1055.7424335048477,523.82,531.9224335048476
176,1048.116542197819,525.54,522.576542197819
177,1038.2779570400457,531.91,506.3679570400458
178,1059.8319658897053,524.62,535.2119658897053
179,1049.4204510741506,526.89,522.5304510741506
180,1040.9845557681883,517.24,523.7445557681883
181,1039.4633287458014,512.39,527.0733287458014
182,1017.4351712138399,494.03,523.4051712138399
183,988.7491759345495,503.51,485.2391759345495
184,1020.1812823321741,509.7,510.4812823321741
185,1017.3363902383602,514.94,502.39639023836014
186,1026.345215202104,523.43,502.91521520210415
187,1047.859711661572,529.14,518.719711661572
188,1054.7743799451473,527.32,527.4543799451473
189,1051.3368019984555,532.57,518.7668019984554
190,1058.0736645261677,528.88,529.1936645261677
191,1049.9933807319321,528.97,521.0233807319321
192,1056.2363383822462,524.96,531.2763383822462
193,1051.8109506807577,523.37,528.4409506807577
194,1040.4906508907902,512.46,528.0306508907902
195,1024.211546131744,500.59,523.621546131744
196,1008.4461024451917,499.73,508.7161024451917
197,990.7050392490466,501.3,489.40503924904664
198,1004.0404709387993,494.81,509.23047093879933
199,984.6793997447879,491.2,493.47939974478794
200,992.3645596371048,494.82,497.5445596371048
201,984.1262262821019,499.5,484.6262262821019
202,1005.6407227415697,500.42,505.22072274156966
203,994.6760344633285,506.69,487.9860344633285
204,1016.3288242884678,505.51,510.8188242884678
205,1008.94000732259,516.62,492.32000732258996
206,1036.9740481637145,532.93,504.0440481637146
207,1064.7710146636878,538.47,526.3010146636877
208,1070.5793360218913,533.74,536.8393360218913
209,1053.7075454099672,517.21,536.4975454099672
210,1039.5423535261853,508.6,530.9423535261852
211,1016.3288242884678,509.26,507.0688242884678
212,1025.910578909994,533.06,492.85057890999406
213,1057.164879551755,527.03,530.1348795517549
214,1049.815574976069,527.79,522.025574976069
215,1052.2653431679641,521.33,530.9353431679641
216,1041.5377292308744,526.14,515.3977292308745
217,1049.1241081477115,529.55,519.5741081477115
218,1049.815574976069,526.38,523.435574976069
219,1052.3838803385397,535.47,516.9138803385397
220,1064.1980850059063,534.5,529.6980850059063
221,1068.0505430496123,541.44,526.6105430496123
222,1080.0623096679378,547.51,532.5523096679378
223,1086.9177093662256,541.35,545.5677093662256
224,1076.2296078193272,538.22,538.0096078193271
225,1069.611282462191,541.38,528.231282462191
226,1079.6276733758273,537.47,542.1576733758272
227,1065.679799638101,530.45,535.229799638101
228,1053.7668139952548,534.62,519.1468139952548
229,1065.383456711662,542.38,523.0034567116619
230,1079.7857229365945,553.96,525.8257229365945
231,1101.5175375421177,556.87,544.6475375421177
232,1113.9244280623616,569.78,544.1444280623616
233,1133.463305012236,572.07,561.393305012236
234,1136.2489285207625,571.8,564.4489285207626
235,1142.4721299759804,573.75,568.7221299759804
236,1142.195543244637,566.13,576.0655432446371
237,1126.3905871678935,567.29,559.1005871678935
238,1121.2539764429516,553.49,567.7639764429516
239,1103.2955951007511,549.67,553.6255951007512
240,1100.0753353001146,553.99,546.0853353001146
241,1100.0555791050188,545.82,554.2355791050187
242,1095.037505550653,552.99,542.0475055506529
243,1096.5389763779435,549.33,547.2089763779435
244,1098.0997157905217,557.97,540.1297157905217
245,1111.6722218214259,556.46,555.2122218214258
246,1116.1173657180098,558.83,557.2873657180097
247,1113.7268661114022,557.28,556.4468661114022
248,1117.9151794717395,568.63,549.2851794717395
249,1133.5620859877163,557.26,576.3020859877163
250,1108.116106704158,553.65,554.466106704158
251,1099.0875255453184,546.84,552.2475255453184
252,1096.36117062208,550.52,545.84117062208
253,1093.1606670165393,546.5,546.6606670165393
254,1090.414555898205,541.07,549.3445558982049
255,1075.1430170890512,534.06,541.0830170890513
256,1058.1329331114553,535.3,522.8329331114553
257,1069.6903072425744,535.55,534.1403072425744
258,1070.2829930954522,540.13,530.1529930954522
259,1075.498628600778,539.3,536.198628600778
260,1077.9879091828648,538.53,539.4579091828648
261,1070.3422616807402,537.69,532.6522616807401
262,1066.0749235400194,528.94,537.1349235400194
263,1051.198508632784,531.07,520.128508632784
264,1053.5692520442958,532.34,521.2292520442958
265,1051.1194838524002,522.62,528.4994838524002
266,1045.0938443481418,533.91,511.18384434814186
267,1068.5642041221063,532.51,536.0542041221063
268,1062.4397836423682,537.89,524.5497836423682
269,1075.43936001549,545.5,529.9393600154899
270,1124.8891163406029,563.51,561.3791163406029
271,1122.597397709475,555.37,567.227397709475
272,1105.3107270005362,553.68,551.6307270005362
273,1097.0723936455333,549.08,547.9923936455333
274,1091.9357829205915,537.34,554.5957829205914
275,1073.2859347500334,537.9,535.3859347500335
276,1073.4834967009929,540.78,532.7034967009929
277,1072.8512984579233,530.8,542.0512984579234
278,1059.0812304760602,524.22,534.8612304760602
279,1044.757989031511,530.7,514.0579890315109
280,1069.7693320229582,538.22,531.5493320229582
281,1073.1673975794583,535.7,537.4673975794583
282,1059.7924534995136,529.04,530.7524534995136
283,1057.7378092095369,529.62,528.1178092095369
284,1064.0795478353302,538.4,525.6795478353303
285,1074.7676493822282,533.85,540.9176493822282
286,1060.6024574984467,532.3,528.3024574984468
287,1064.494427932345,537.36,527.1344279323449
288,1073.4044719206095,539.27,534.1344719206095
289,1072.3376373854294,542.51,529.8276373854294
290,1076.6840003065336,540.11,536.5740003065335
291,1072.6734927020598,532.32,540.3534927020597
292,1062.163196911025,539.79,522.3731969110249
293,1072.4561745560045,539.78,532.6761745560045
294,1071.191778069865,532.11,539.081778069865
295,1070.045918754301,533.99,536.055918754301
296,1062.4200274472723,539.18,523.2400274472724
297,1076.2098516242313,540.31,535.8998516242314
298,1071.9622696786064,536.7,535.2622696786063
299,1069.1766461700804,533.33,535.8466461700804
300,1063.1707628609174,526.83,536.3407628609174
301,1051.8109506807577,526.69,525.1209506807577
302,1055.3670657980251,536.69,518.6770657980251
303,1073.2661785549376,534.61,538.6561785549376
304,1059.7924534995136,532.33,527.4624534995136
305,1052.6802232649788,527.2,525.4802232649788
306,1053.470471068816,528.15,525.3204710688161
307,1055.3868219931214,529.26,526.1268219931214
308,1058.607081793758,536.73,521.877081793758
309,1070.8756789483305,536.69,534.1856789483304
310,1075.5776533811618,538.19,537.3876533811617
311,1075.676434356641,540.48,535.196434356641
312,1076.3876573800949,537.84,538.5476573800948
313,1074.1552073342546,535.23,538.9252073342545
314,1070.9744599238097,531.69,539.2844599238097
315,1046.7731209312956,521.52,525.2531209312956
316,1048.7684966359848,520.51,528.2584966359848
317,1046.21994746861,521.84,524.3799474686099
318,1039.0089362585954,523.4,515.6089362585955
319,1035.8874574334382,522.86,513.0274574334381
320,1043.058956253261,525.02,518.038956253261
321,1038.9496676733074,516.83,522.1196676733074
322,1043.039200058165,520.68,522.3592000581651
323,1049.3019139035746,530.13,519.1719139035746
324,1062.3212464717926,546.55,515.7712464717927
325,1089.7428452649433,561.1,528.6428452649433
326,1116.156878108202,560.22,555.9368781082019
327,1126.015219461071,579.85,546.1652194610709
328,1291.7301839257311,672.93,618.8001839257312
329,1311.9605277039632,663.02,648.9405277039632
330,1303.9987810803036,662.3,641.6987810803037
331,1315.2202998947919,662.1,653.1202998947919
332,1315.971035308437,644.28,671.691035308437
333,1287.778944906545,623.56,664.218944906545
334,1236.412837657127,627.26,609.1528376571271
335,1259.7844164556127,628.0,631.7844164556127
336,1251.8226698319527,631.93,619.8926698319527
337,1254.1934132434644,632.59,621.6034132434644
338,1256.9197681667024,625.61,631.3097681667024
339,1244.9870263287607,631.21,613.7770263287607
340,1251.0719344183071,629.25,621.8219344183071
341,1262.7478457200018,643.78,618.9678457200018
342,1283.8277058873591,642.68,641.1477058873592
343,1274.4040008266006,635.3,639.1040008266007
344,1272.9222861944058,633.73,639.1922861944058
345,1331.6376980195096,660.78,670.8576980195096
346,1319.5469066208007,659.56,659.9869066208007
347,1312.118577264731,656.45,655.6685772647309
348,1303.6036571783848,657.12,646.4836571783848
349,1307.1400161005563,660.87,646.2700161005563
350,1317.2156755994806,656.13,661.0856755994806
351,1306.744892198638,660.9,645.8448921986379
352,1304.4926859577017,646.83,657.6626859577017
353,1273.5149720472837,612.48,661.0349720472836
354,1141.5831011966634,589.61,551.9731011966634
355,1224.3813148437057,582.06,642.3213148437057
356,1215.372489879962,628.62,586.7524898799619
357,1272.7642366336381,637.61,635.1542366336381
358,1259.7646602605164,630.38,629.3846602605164
359,1249.3333892498654,618.25,631.0833892498654
360,1199.5872899983137,597.79,601.7972899983138
361,1205.9685410142993,614.34,591.6285410142992
362,1228.5103596187555,606.25,622.2603596187555
363,1194.9248279556746,600.7,594.2248279556745
364,1219.600315630491,614.66,604.940315630491
365,1236.8474739492376,612.72,624.1274739492376
366,1220.8054435313425,621.35,599.4554435313424
367,1233.943313270136,625.77,608.1733132701361
368,1245.6982493522146,623.24,622.4582493522146
369,1247.6738688618075,635.14,612.5338688618075
370,1265.000051960938,635.98,629.020051960938
371,1269.5834892231937,642.9,626.6834892231938
372,1267.6078697136004,629.25,638.3578697136004
373,1262.8861390856732,635.44,627.4461390856732
374,1248.2665547146853,622.69,625.5765547146852
375,1238.4872381421997,622.36,616.1272381421996
376,1227.7991365953017,625.8,601.9991365953017
377,1253.739020756258,611.97,641.769020756258
378,1215.352733684866,594.89,620.4627336848661
379,1189.5511428895816,594.97,594.5811428895815
380,1201.4048599471394,608.42,592.9848599471394
381,1211.4607632509678,611.29,600.1707632509679
382,1209.149288424744,626.91,582.2392884247441
383,1258.1446522626502,641.47,616.6746522626502
384,1271.6578897082663,645.44,626.2178897082663
385,1292.2043326080334,642.36,649.8443326080334
386,1276.6364508724405,639.16,637.4764508724405
387,1273.9496083393942,643.61,630.3396083393942
388,1278.0786531144436,646.67,631.4086531144436
389,1280.172809794612,652.3,627.8728097946121
390,1300.0475420611178,651.16,648.8875420611179
391,1302.9121903500272,661.74,641.1721903500272
392,1321.581794715681,662.2,659.381794715681
393,1315.7932295525738,666.1,649.6932295525738
394,1321.4435013500097,650.28,671.1635013500097
395,1301.9046244001352,642.61,659.2946244001351
396,1287.1862590536675,651.79,635.3962590536676
397,1446.8163154287813,702.0,744.8163154287813
398,1395.5489891548427,712.78,682.7689891548428
399,1407.0668508957701,708.49,698.5768508957701
400,1406.9680699202904,712.95,694.0180699202904
401,1413.2307837657004,716.92,696.3107837657004
402,1423.5632738008717,710.81,712.7532738008717
403,1414.3371306910722,721.11,693.2271306910721
404,1429.7469628658978,722.16,707.5869628658978
405,1435.9504081260197,728.11,707.8404081260197
406,1450.7082858626795,731.25,719.4582858626795
407,1454.7187934671533,733.76,720.9587934671533
408,1452.1504881046822,724.89,727.2604881046822
409,1440.6918949490428,728.32,712.3718949490427
410,1456.6153881963623,735.4,721.2153881963624
411,1453.7309837123566,731.23,722.5009837123566
412,1450.1156000098013,717.0,733.1156000098013
413,1423.3064432646247,728.96,694.3464432646247
414,1450.3526743509524,725.3,725.0526743509524
415,1446.9743649895486,740.0,706.9743649895486
416,1469.0222787166063,738.41,730.6122787166063
417,1484.4123546963356,756.6,727.8123546963355
418,1505.9861197410914,755.98,750.0061197410914
419,1495.2189934138096,748.28,746.9389934138096
420,1487.5931021067804,748.15,739.4431021067804
421,1488.2253003498504,750.26,737.9653003498504
422,1488.916767178208,742.6,746.3167671782079
423,1485.5582140119,767.04,718.5182140119
424,1528.606963125931,762.38,766.2269631259311
425,1522.8974227432072,752.54,770.3574227432073
426,1497.392174874362,766.81,730.582174874362
427,1526.3745130800908,763.25,763.1245130800908
428,1506.855392325312,762.37,744.4853923253121
429,1509.384185297591,751.61,757.7741852975911
430,1496.8982699969638,749.46,747.4382699969638
431,1473.8032779298214,738.87,734.9332779298214
432,1475.047918220865,747.77,727.2779182208651
433,1497.1946129234025,743.4,753.7946129234025
434,1491.2677543946234,758.09,733.1777543946233
435,1515.8049487037683,749.43,766.3749487037684
436,1484.3728423061439,739.31,745.0628423061439
437,1483.6221068924988,747.77,735.8521068924988
438,1494.527526585452,750.0,744.527526585452
439,1498.1231540929111,750.31,747.8131540929112
440,1490.3787256153064,748.4,741.9787256153064
441,1497.0365633626348,762.51,734.5265633626348
442,1524.2408440097306,776.6,747.6408440097306
443,1543.8192333497973,771.0,772.8192333497973
444,1529.7923348316867,758.88,770.9123348316867
445,1477.4384178274727,741.84,735.5984178274726
446,1484.2543051355683,742.58,741.6743051355683
447,1451.7553642027638,743.62,708.1353642027638
448,1452.3678062507374,726.39,725.9778062507374
449,1454.6200124916736,714.47,740.1500124916736
450,1425.3018189693134,716.03,709.2718189693135
451,1435.3182098829498,726.07,709.2482098829497
452,1453.4346407859175,700.56,752.8746407859176
453,1403.115611876584,714.72,688.3956118765839
454,1377.2547524960119,694.45,682.8047524960118
455,1399.0063232966304,701.79,697.2163232966304
456,1369.9844727007098,698.45,671.5344727007098
457,1396.7936294458864,706.59,690.2036294458863
458,1439.1113993413687,725.25,713.8613993413687
459,1439.0718869511766,711.67,727.4018869511766
460,1419.849109122837,713.04,706.8091091228371
461,1419.49349761111,699.99,719.5034976111099
462,1436.3850444181303,730.96,705.4250444181303
463,1454.7780620524409,742.95,711.8280620524408
464,1492.1765393690362,752.0,740.1765393690362
465,1559.4266274755819,764.65,794.7766274755819
466,1531.214780878594,726.95,804.2647808785939
467,1437.55065992879,708.01,729.5406599287901
468,1400.1324264170985,683.57,716.5624264170984
469,1328.9706116815591,682.74,646.2306116815591
470,1337.8016308894398,678.11,659.6916308894398
471,1366.5271385589217,684.12,682.4071385589217
472,1343.096291175149,683.11,659.986291175149
473,1373.244244891538,682.4,690.8442448915381
474,1378.617929957631,691.0,687.6179299576311
475,1388.7133456516513,708.4,680.3133456516513
476,1412.2429740109037,697.35,714.8929740109037
477,1382.6679499522966,700.91,681.7579499522966
478,1407.2051442614415,706.46,700.7451442614415
479,1395.3514272038838,695.85,699.5014272038837
480,1370.5969147486835,699.56,671.0369147486836
481,1392.5065351100698,705.75,686.7565351100698
482,1409.4375943072819,705.07,704.3675943072818
483,1393.1189771580434,697.77,695.3489771580435
484,1399.6385215397004,718.81,680.8285215397004
485,1430.0235495972406,718.85,711.1735495972406
486,1429.3913513541706,712.42,716.9713513541707
487,1422.1013153637728,710.89,711.2113153637728
488,1406.1185535311656,695.16,710.9585535311656
